選手ID,選手名,WBCチーム,ポジション,背番号,生年月日,年齢,身長（cm）,体重（kg）,打席,投球腕,出身国,MLBチーム,MLB初出場年,MLB経験年数
807155,Lukas Ercoli,Czechia,P,63,1996-04-17,29,190,91,R,L,Czechia,,,
689650,Ryan Johnson,Czechia,PH,30,1992-09-29,33,196,102,L,L,Canada,,,
626416,Jan Novak,Czechia,P,18,1994-01-19,32,188,87,R,L,Czechia,GCL Orioles,,
667766,Tomas Duffek,Czechia,P,7,1989-09-12,36,185,82,R,L,Czechoslovakia,,,
828317,Matous Bubenik,Czechia,PH,21,2005-10-28,20,190,102,R,R,Czechia,,,
679631,Terrin Vavra,Czechia,SS,6,1997-05-12,28,180,84,L,R,USA,Norfolk Tides,2022,4
804607,Daniel Padysak,Czechia,P,42,2000-07-02,25,196,104,R,R,Czechia,,,
838351,Max Prejda,Czechia,RF,2,2007-06-06,18,183,79,L,R,Czechia,,,
803013,Marek Chlup,Czechia,CF,73,1999-01-09,27,193,100,R,R,Czechia,,,
837160,Jan Pospisil,Czechia,PH,27,2003-10-21,22,183,91,L,R,Czechia,,,
694376,Shay Whitcomb,Korea,SS,10,1998-09-28,27,183,92,R,R,USA,Houston Astros,2024,2
808971,Been Gwak,Korea,P,47,1999-05-28,26,188,95,R,R,Republic of Korea,,,
808970,Woo-Suk Go,Korea,P,19,1998-08-06,27,180,90,R,R,Republic of Korea,Toledo Mud Hens,,
823590,Yeong Chan You,Korea,P,54,1997-03-07,29,185,90,R,R,Republic of Korea,,,
663330,Jahmai Jones,Korea,LF,15,1997-08-04,28,178,95,R,R,USA,Detroit Tigers,2020,6
641540,Dane Dunning,Korea,P,33,1994-12-20,31,193,102,R,R,USA,Tacoma Rainiers,2020,6
823575,Bo Gyeong Moon,Korea,1B,2,2000-07-19,25,183,88,L,R,Republic of Korea,,,
823574,Si Hwan Roh,Korea,3B,8,2000-12-03,25,185,105,R,R,Republic of Korea,,,
823593,Min Jae Shin,Korea,2B,4,1996-01-21,30,170,67,L,R,Republic of Korea,,,
823570,Hyung Jun Kim,Korea,C,25,1999-11-02,26,188,98,R,R,Republic of Korea,,,
823572,Ju Won Kim,Korea,SS,7,2002-07-30,23,185,83,R,R,Republic of Korea,,,
808975,Hyeseong Kim,Korea,2B,3,1999-01-27,27,178,79,L,R,Republic of Korea,Oklahoma City Comets,2025,1
838342,Young Kyu Kim,Korea,P,14,2000-02-10,26,188,86,L,L,Republic of Korea,,,
823559,Taek Yeon Kim,Korea,P,63,2005-06-03,20,180,88,R,R,Republic of Korea,,,
808978,Young Pyo Ko,Korea,P,1,1991-09-16,34,185,88,R,R,Republic of Korea,,,
547943,Hyun Jin Ryu,Korea,P,99,1987-03-25,39,190,113,R,L,Republic of Korea,Toronto Blue Jays,2013,13
673526,Dong Won Park,Korea,C,27,1990-04-07,35,178,92,R,R,Republic of Korea,,,
838336,Hyun Min Ahn,Korea,RF,23,2003-08-22,22,183,90,R,R,Republic of Korea,,,
676617,Riley O'Brien,Korea,P,55,1995-02-06,31,193,82,R,R,USA,St. Louis Cardinals,2021,5
673527,Hae-Min Park,Korea,1B,17,1990-02-24,36,180,75,L,R,Republic of Korea,,,
838339,Do Yeong Kim,Korea,DH,5,2003-10-02,22,183,85,R,R,Republic of Korea,,,
838333,Ju Young Son,Korea,P,29,1998-12-02,27,190,95,L,L,Republic of Korea,,,
838332,Ja Wook Koo,Korea,PH,65,1993-02-12,33,188,75,L,R,Republic of Korea,,,
808982,Jung Hoo Lee,Korea,RF,22,1998-08-20,27,183,89,L,R,Republic of Korea,San Francisco Giants,2024,2
838334,Seung Ki Song,Korea,P,66,2002-04-10,23,180,90,L,L,Republic of Korea,,,
628359,Kyung-Eun Noh,Korea,P,38,1984-03-11,42,188,84,R,R,Republic of Korea,Geelong-Korea,,
806806,Hyun Bin Moon,Korea,CF,51,2004-04-20,21,175,82,L,R,Republic of Korea,International Team (18U),,
823561,Yeong Hyun Park,Korea,P,60,2003-10-11,22,183,91,R,R,Republic of Korea,,,
838331,Woo Joo Jeong,Korea,P,61,2006-11-07,19,183,88,R,R,Republic of Korea,,,
808984,Hyeong Jun So,Korea,P,30,2001-09-16,24,188,92,R,R,Republic of Korea,,,
823568,Byeong Hyeon Jo,Korea,P,11,2002-05-08,23,183,90,R,R,Republic of Korea,,,
838348,Koki Kitayama,Japan,P,57,1999-04-10,26,183,86,R,R,Japan,,,
838349,Ryuhei Sotani,Japan,P,47,2000-11-30,25,183,83,L,L,Japan,,,
838344,Kaito Kozono,Japan,SS,3,2000-06-07,25,178,86,L,R,Japan,,,
838346,Yuki Matsumoto,Japan,P,66,1996-04-14,29,183,92,L,R,Japan,,,
831674,Shota Morishita,Japan,PH,23,2000-08-14,25,183,93,R,R,Japan,,,
831656,Seishiro Sakamoto,Japan,C,12,1993-11-10,32,178,79,R,R,Japan,,,
808959,Munetaka Murakami,Japan,1B,55,2000-02-02,26,188,97,L,R,Japan,Chicago White Sox,2026,0
808958,Hiroya Miyagi,Japan,P,13,2001-08-25,24,170,78,L,L,Japan,,,
808957,Shugo Maki,Japan,2B,2,1998-04-21,27,178,93,R,R,Japan,,,
673520,Yuhei Nakamura,Japan,C,27,1990-06-17,35,175,79,R,R,Japan,,,
808955,Hiromi Itoh,Japan,P,14,1997-08-31,28,178,82,L,R,Japan,,,
838755,Shoma Fujihira,Japan,P,46,1998-09-21,27,185,85,R,R,Japan,,,
673548,Seiya Suzuki,Japan,RF,51,1994-08-18,31,180,83,R,R,Japan,Chicago Cubs,2022,4
838757,Chihiro Sumida,Japan,P,22,1999-08-20,26,175,76,L,L,Japan,,,
838756,Yumeto Kanemaru,Japan,P,24,2003-02-01,23,178,77,L,L,Japan,,,
660271,Shohei Ohtani,Japan,DH,16,1994-07-05,31,193,95,L,R,Japan,Los Angeles Dodgers,2018,8
608372,Tomoyuki Sugano,Japan,P,19,1989-10-11,36,185,104,R,R,Japan,Colorado Rockies,2025,1
684001,Atsuki Taneichi,Japan,P,26,1998-09-07,27,183,88,R,R,Japan,Auckland Tuatara,,
831664,Teruaki Sato,Japan,DH,7,1999-03-13,27,188,95,L,R,Japan,,,
683970,Ukyo Shuto,Japan,CF,20,1996-02-10,30,180,70,L,R,Japan,Gigantes de Carolina,,
579328,Yusei Kikuchi,Japan,P,17,1991-06-17,34,183,95,L,L,Japan,Los Angeles Angels,2019,7
683821,Sosuke Genda,Japan,SS,6,1993-02-16,33,180,75,L,R,Japan,,,
685547,Kensuke Kondoh,Japan,LF,8,1993-08-09,32,170,86,L,R,Japan,,,
807799,Masataka Yoshida,Japan,LF,34,1993-07-15,32,173,87,L,R,Japan,Boston Red Sox,2023,3
808964,Hiroto Takahashi,Japan,P,28,2002-08-09,23,188,86,R,R,Japan,,,
838350,Kenya Wakatsuki,Japan,C,4,1995-10-04,30,180,88,R,R,Japan,,,
611463,Taisei Makihara,Japan,LF,5,1992-10-15,33,173,68,L,R,Japan,Brisbane Bandits,,
808962,Taisei Ota,Japan,P,15,1999-06-29,26,180,88,R,R,Japan,,,
672960,Kazuma Okamoto,Japan,3B,25,1996-06-30,29,185,100,R,R,Japan,Toronto Blue Jays,2026,0
808967,Yoshinobu Yamamoto,Japan,P,18,1998-08-17,27,178,80,R,R,Japan,Los Angeles Dodgers,2024,2
683061,Alexander Vargas,Cuba,SS,13,2001-10-29,24,180,83,R,R,Cuba,Dayton Dragons,,
661270,Roel Santos,Cuba,CF,1,1987-09-15,38,168,78,L,L,Cuba,Olmecas de Tabasco,,
628326,Erisbel Arruebarrena,Cuba,SS,71,1990-03-25,36,185,104,R,R,Cuba,Algodoneros de Guasave,2014,12
493351,Alexei Ramirez,Cuba,SS,2,1981-09-22,44,188,82,R,R,Cuba,Diablos Rojos del Mexico,2008,18
660162,Yoán Moncada,Cuba,3B,10,1995-05-27,30,183,100,S,R,Cuba,Los Angeles Angels,2016,10
628345,Darien Núñez,Cuba,P,62,1993-03-19,33,188,93,L,L,Cuba,Algodoneros Union Laguna,2021,5
682644,Denny Larrondo,Cuba,P,25,2002-05-31,23,188,82,R,R,Cuba,Hillsboro Hops,,
661255,Yoan López,Cuba,P,35,1993-01-02,33,190,94,R,R,Cuba,Algodoneros Union Laguna,2018,8
677120,Yoel Yanqui,Cuba,IF,33,1996-04-25,29,185,95,L,L,Cuba,Navegantes del Magallanes,,
682650,Malcom Nuñez,Cuba,3B,9,2001-03-09,25,183,93,R,R,Cuba,Indianapolis Indians,,
820888,Emmanuel Chapman,Cuba,P,34,1998-09-23,27,198,116,R,R,Cuba,Altoona Curve,,
673603,Luis Romero,Cuba,P,16,1994-04-23,31,183,92,R,R,Cuba,El Aguila de Veracruz,,
814300,Josimar Cousin,Cuba,P,30,1998-02-18,28,190,104,R,R,Cuba,Rieleros de Aguascalientes,,
673508,Ariel Martinez,Cuba,1B,40,1996-05-28,29,188,89,R,R,Cuba,,,
838354,Leonel Moas Jr.,Cuba,LF,20,1996-04-14,29,188,86,R,R,Cuba,,,
839102,Christian Rodriguez,Cuba,IF,95,2002-03-31,24,183,73,R,R,Cuba,,,
807176,Armando Duenas,Cuba,P,6,1994-09-17,31,190,98,R,R,Cuba,,,
684320,Yariel Rodríguez,Cuba,P,29,1997-03-10,29,183,75,R,R,Cuba,Buffalo Bisons,2024,2
661267,Livan Moinelo,Cuba,P,89,1995-12-08,30,178,70,L,L,Cuba,,,
808949,Andrys Perez,Cuba,C,17,2001-02-09,25,188,94,R,R,Cuba,,,
682640,Osiel Rodriguez,Cuba,P,15,2001-11-22,24,188,95,R,R,Cuba,Bravos de Leon,,
683427,Omar Hernandez,Cuba,C,3,2001-12-10,24,178,77,R,R,Cuba,Northwest Arkansas Naturals,,
683726,Pedro Santos,Cuba,P,18,2000-01-07,26,193,93,R,R,Cuba,Gigantes de Carolina,,
678789,Julio Robaina,Cuba,P,38,2001-03-23,25,180,77,L,L,Cuba,Tigres de Quintana Roo,,
698795,Yoelkis Guibert,Cuba,RF,7,1994-08-29,31,178,76,L,L,Cuba,Algodoneros de Guasave,,
838353,Randy Martinez,Cuba,P,90,2003-09-28,22,175,72,L,L,Cuba,,,
701260,Frank Alvarez,Cuba,P,22,1999-01-16,27,190,92,R,R,Cuba,,,
691268,Yiddi Cappe,Cuba,2B,24,2002-09-17,23,190,79,R,R,Cuba,Pensacola Blue Wahoos,,
493319,Alfredo Despaigne,Cuba,DH,54,1986-06-17,39,170,95,R,R,Cuba,Piratas de Campeche,,
673510,Raidel Martinez,Cuba,P,92,1996-10-11,29,193,93,L,R,Cuba,,,
622666,Johan Camargo,Panama,1B,7,1993-12-13,32,180,88,S,R,Panama,Tecos de los Dos Laredos,2017,9
642770,Javy Guerra,Panama,P,12,1995-09-25,30,183,86,L,R,Panama,Gwinnett Stripers,2018,8
701477,Erian Rodriguez,Panama,P,5,2001-11-23,24,190,86,R,R,Panama,Knoxville Smokies,,
676609,José Caballero,Panama,SS,77,1996-08-30,29,175,86,R,R,Panama,New York Yankees,2023,3
645308,Jhonny Santos,Panama,LF,32,1996-10-02,29,183,73,R,R,Panama,Panama,,
514913,Rubén Tejada,Panama,SS,11,1989-10-27,36,180,91,R,R,Panama,Caliente de Durango,2010,16
642558,Ariel Jurado,Panama,P,37,1996-01-30,30,188,109,R,R,Panama,St. Paul Saints,2018,8
682947,Jose Ramos,Panama,RF,99,2001-01-01,25,183,91,R,R,Panama,Binghamton Rumble Ponies,,
624641,Edmundo Sosa,Panama,3B,33,1996-03-06,30,180,95,R,R,Panama,Philadelphia Phillies,2018,8
660620,Jonathan Araúz,Panama,1B,28,1998-08-03,27,183,88,S,R,Panama,Saraperos de Saltillo,2020,6
514630,Luis Castillo,Panama,OF,23,1989-05-15,36,180,73,S,R,Panama,Panama,,
642707,Allen Córdoba,Panama,CF,13,1995-12-06,30,188,107,R,R,Panama,Diablos Rojos del Mexico,2017,9
642607,Dario Agrazal,Panama,P,82,1994-12-28,31,188,102,R,R,Panama,Leones de Yucatan,2019,7
605894,Severino González,Panama,P,52,1992-09-28,33,188,70,R,R,Panama,Panama,2015,11
800550,Miguel Cienfuegos,Panama,P,0,1997-02-10,29,193,88,L,L,Canada,El Paso Chihuahuas,,
683517,Jorge Garcia,Panama,P,3,2002-05-10,23,183,84,R,R,Panama,Caliente de Durango,,
542194,Christian Bethancourt,Panama,C,22,1991-09-02,34,190,93,R,R,Panama,Iowa Cubs,2013,13
665804,Miguel Amaya,Panama,C,9,1999-03-09,27,185,104,R,R,Panama,Chicago Cubs,2023,3
502179,Paolo Espino,Panama,P,21,1987-01-10,39,178,96,R,R,Panama,Panama,2017,9
690961,Enrique Bradfield Jr.,Panama,CF,2,2001-12-02,24,180,77,L,L,USA,Norfolk Tides,,
671106,Logan Allen,Panama,P,26,1998-09-05,27,183,86,R,L,USA,Columbus Clippers,2023,3
650668,Humberto Mejía,Panama,P,91,1997-03-03,29,193,111,R,R,Panama,Panama,2020,6
642545,Jaime Barria,Panama,P,51,1996-07-18,29,185,95,R,R,Panama,Algodoneros Union Laguna,2018,8
665789,Kenny Hernandez,Panama,P,24,1998-06-24,27,185,89,L,L,Panama,Dominican Republic,,
685777,Miguel Gomez,Panama,P,15,2001-09-10,24,190,77,R,R,Panama,Bravos de Leon,,
593604,Alberto Baldonado,Panama,P,25,1993-02-01,33,196,122,L,L,Panama,Rochester Red Wings,2021,5
686857,James Gonzalez,Panama,P,4,2000-09-15,25,188,116,L,L,Panama,Midland RockHounds,,
677870,Leo Jiménez,Panama,2B,49,2001-05-17,24,178,98,R,R,Panama,Miami Marlins,2024,2
699024,Leo Bernal,Panama,DH,18,2004-02-13,22,183,111,S,R,Panama,Memphis Redbirds,,
665959,Abdiel Mendoza,Panama,P,19,1998-09-19,27,178,73,R,R,Panama,ACL Mariners,,
644433,Chadwick Tromp,Kingdom of the Netherlands,C,14,1995-03-21,31,173,100,R,R,Aruba,Gwinnett Stripers,2020,6
808378,Jamdrick Cornelia,Kingdom of the Netherlands,P,30,2005-11-17,20,183,64,L,L,Curacao,DSL Mets Orange,,
463017,Shairon Martis,Kingdom of the Netherlands,P,39,1987-03-30,39,185,102,R,R,Curacao,Aguilas del Zulia,2008,18
622464,Wendell Floranus,Kingdom of the Netherlands,P,99,1995-04-16,30,183,73,R,R,Curacao,Leones del Escogido,,
838329,Justin Morales,Kingdom of the Netherlands,P,46,2004-12-14,21,193,95,R,R,Aruba,,,
663723,Derek West,Kingdom of the Netherlands,P,00,1996-12-02,29,196,117,R,R,USA,Leones de Yucatan,,
445276,Kenley Jansen,Kingdom of the Netherlands,P,74,1987-09-30,38,196,120,S,R,Curacao,Detroit Tigers,2010,16
823858,Jaitoine Kelly,Kingdom of the Netherlands,P,34,2007-06-29,18,190,117,R,R,Aruba,ACL D-backs,,
808511,Dylan Wilson,Kingdom of the Netherlands,P,20,2005-12-01,20,183,73,R,R,Curacao,ACL Mariners,,
806779,Shawndrick Oduber,Kingdom of the Netherlands,P,35,2004-12-16,21,183,77,R,R,Aruba,Ontario Tower Buzzers,,
649955,Hendrik Clementina,Kingdom of the Netherlands,DH,12,1997-06-17,28,188,113,R,R,Curacao,Algodoneros Union Laguna,,
702258,Druw Jones,Kingdom of the Netherlands,RF,4,2003-11-28,22,188,82,R,R,USA,Amarillo Sod Poodles,,
642282,Juremi Profar,Kingdom of the Netherlands,3B,13,1996-01-30,30,185,84,R,R,Curacao,Bravos de Leon,,
677804,Eric Mendez,Kingdom of the Netherlands,P,29,1999-12-03,26,183,79,R,R,Aruba,Lakeland Flying Tigers,,
642720,Ray-Patrick Didder,Kingdom of the Netherlands,LF,11,1994-10-01,31,178,90,R,R,Aruba,Aguilas de Mexicali,,
645277,Ozzie Albies,Kingdom of the Netherlands,2B,1,1997-01-07,29,170,75,S,R,Curacao,Atlanta Braves,2017,9
687677,Arij Fransen,Kingdom of the Netherlands,P,17,2001-05-20,24,190,98,R,R,Netherlands,Chattanooga Lookouts,,
609044,Lars Huijer,Kingdom of the Netherlands,P,16,1993-09-22,32,193,93,R,R,Netherlands,Myrtle Beach Pelicans,,
593428,Xander Bogaerts,Kingdom of the Netherlands,SS,2,1992-10-01,33,188,99,R,R,Aruba,San Diego Padres,2013,13
463748,Sharlon Schoop,Kingdom of the Netherlands,1B,15,1987-04-15,38,188,86,R,R,Curacao,Norfolk Tides,,
678882,Ceddanne Rafaela,Kingdom of the Netherlands,CF,3,2000-09-18,25,178,75,R,R,Curacao,Boston Red Sox,2023,3
692838,Jaydenn Estanista,Kingdom of the Netherlands,P,32,2001-10-03,24,188,82,R,R,Curacao,Reading Fightin Phils,,
806401,Dayson Croes,Kingdom of the Netherlands,1B,5,1999-10-08,26,178,90,L,R,Aruba,Richmond Flying Squirrels,,
808721,Kevin Kelly,Kingdom of the Netherlands,P,33,1990-05-27,35,183,91,R,R,Curacao,Caliente de Durango,,
838330,Delano Selassa,Kingdom of the Netherlands,OF,22,1999-10-25,26,188,86,R,R,Netherlands,,,
699228,Jakey Josepha,Kingdom of the Netherlands,PH,37,2004-05-15,21,188,61,L,R,Curacao,Visalia Rawhide,,
699008,Antwone Kelly,Kingdom of the Netherlands,P,58,2003-09-01,22,178,108,R,R,Aruba,Indianapolis Indians,,
543833,Juan Carlos Sulbaran,Kingdom of the Netherlands,P,45,1989-11-09,36,188,93,R,R,Curacao,Rieleros de Aguascalientes,,
544369,Didi Gregorius,Kingdom of the Netherlands,3B,18,1990-02-18,36,190,93,L,R,Netherlands,Algodoneros Union Laguna,2012,14
820853,Ryjeteri Merite,Kingdom of the Netherlands,P,52,2005-12-16,20,190,68,L,L,Netherlands,DSL Reds,,
694037,Daniel Palencia,Venezuela,P,29,2000-02-05,26,180,73,R,R,Venezuela,Chicago Cubs,2023,3
593958,Eduardo Rodriguez,Venezuela,P,52,1993-04-07,32,188,105,L,L,Venezuela,Arizona Diamondbacks,2015,11
575929,Willson Contreras,Venezuela,1B,40,1992-05-13,33,183,109,R,R,Venezuela,Boston Red Sox,2016,10
682949,Christian Suarez,Venezuela,P,73,2000-11-25,25,180,73,L,L,Venezuela,Tulsa Drillers,,
645307,Ricardo Sánchez,Venezuela,P,64,1997-04-11,28,178,100,L,L,Venezuela,Algodoneros Union Laguna,2020,6
664346,Carlos Guzman,Venezuela,P,20,1998-05-16,27,185,95,R,R,Venezuela,Binghamton Rumble Ponies,,
694192,Jackson Chourio,Venezuela,CF,1,2004-03-11,22,185,90,R,R,Venezuela,Milwaukee Brewers,2024,2
521692,Salvador Perez,Venezuela,DH,13,1990-05-10,35,188,116,R,R,Venezuela,Kansas City Royals,2011,15
679883,Luinder Avila,Venezuela,P,58,2001-08-21,24,190,88,R,R,Venezuela,Omaha Storm Chasers,2025,1
665926,Andrés Giménez,Venezuela,2B,0,1998-09-04,27,180,73,L,R,Venezuela,Toronto Blue Jays,2020,6
676130,José Buttó,Venezuela,P,70,1998-03-19,28,183,94,R,R,Venezuela,San Francisco Giants,2022,4
